Unnamed: 0,Acc_no,Analysis,Array_type,Cell_line,CO2,Control_condition,Control_gene_down,Control_gene_up,Control_PD,Control_specifics,Control_subtype,Control_time,Control_type,Disease,ENA_acc,FBS,Gene,Gene_down,Gene_up,Immortal_line,Immortal_mechanism,LogFC,MegaP,numeric_time,Organ,Oxygen,P_S,PD,Pre_SASP_t,Pvalues,Quiesce_inducer,Radiation_dose,Replicates,RNAseq_Microarray,Sen_subtype,Sen_type,SENvCON,Seq_platform,Single_Paired,Species,Spot_length,Study,Subtype_subtype,Time_after_induction,Treatment,Treatment_dose,X,X1or2_colour,Comparison,cellage_gene_name,cellage_senescence_effect,cellage_senescence_type,cellage_pmid,direction
1612662,GSE122918,Limma,Affymetrix_HTA2_0,WI38,,RAS,ETS1,none,,R144_siETS1,RAS,6d,OIS,none,PRJNA506911,,FASTK,RELA,none,No,,-0.025,-1.792879,6.0,Lung,,,,No,0.5577621,,,4,M,RAS,OIS,No,,,human,,bischof_2,ER:RASv12,6d,siRELA1,20uM,R144relA1_R144ets11,1,bischof_2_R144relA1_R144ets11,Fas activated serine/threonine kinase,Induces,Unclear,26583757,no_change
5734193,GSE122079,Limma,,IMR,,RAS,none,none,14.0,RAS_EV16h,RAS,6d,OIS,none,PRJNA503415,10.00%,EP300,IONpump,none,No,,2.215393,168679.8,6.0,Lung,,,14.0,No,5.928393e-06,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,6d,digoxin,none,RASdig16_RAS16,,herranz_2_RASdig16_RAS16,E1A binding protein p300,Induces,Replicative,30773298,upregulated
9690494,GSE74324,Limma,,IMR,,RAS,none,none,,RASshC,RAS,12d,OIS,none,PRJNA299683,10.00%,TRDMT1,p53,none,No,,1.224878,2114.493,12.0,Lung,,,,No,0.0004729266,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,100,tasdemir,HRASG12V,12d,shp53,none,RASshp53_RAS,,tasdemir_RASshp53_RAS,tRNA aspartic acid methyltransferase 1,Inhibits,Replicative,28843151,upregulated
188044,GSE103938,Limma,,IMR,,RAS,none,none,12.0,RAS10d,RAS,10d,OIS,none,PRJNA407729,,CTSB,mTOR,none,No,,-2.64611010275006,-234515719.362835,10.0,Lung,,,12.0,No,4.2641064859828606e-09,,,3,R,OSKM,OSKM,No,Illumina_HiSeq_2500,Single,Human,50,aarts_1,OSKM,10d,rapamycin,1nM,OSKM1nMRap_R,,aarts_1_OSKM1nMRap_R,cathepsin B,Inhibits,Unclear,30352807,downregulated
2579427,GSE134747,Limma,Illumina_HT12V4,BJ,,OIS,none,none,,BRAF_48h_DMSO_2h,RAF,2d,OIS,none,PRJNA556258,,ILF3,none,GR,Yes,hTERT,-10.54592,-29.24458,2.0,Skin,,,,Yes,0.03419437,,1000ng_ml,4,M,RAF,OIS,No,,,human,,carvalho_1,BRAF_doxycycline,2d,clobetasol,2nM_2h,O48Clob2_O48DMSO2,1,carvalho_1_O48Clob2_O48DMSO2,interleukin enhancer binding factor 3,Inhibits,Unclear,23117626,downregulated
8071051,GSE24810,Limma,Affymetrix_U133A,HMF3A,5%,OIS,none,none,,Inactive_SV40LT_EV,SV40,7d,OIS,none,PRJNA132307,0.25%,ARF1,none,E1A,Yes,hTERT_SV40_LT,-0.1914953,-410.4191,7.0,Skin,20%,Yes,,No,0.002436534,,,3,M,,,No,,,Human,,parmjit_1,,7d,Ad5_E1A_12S,none,ISVe1a_SSVev,1,parmjit_1_ISVe1a_SSVev,ADP ribosylation factor 1,Induces,Oncogene-induced,29420297,no_change
6718725,GSE53379,Limma,Illumin_HWG6V3,IMR,,DDISshp53,p53,none,,Quiesce1dEtopshp53,Etoposide,7d,DDIS,none,PRJNA231867,10.00%,SPOP,p53,E1A,No,,0.1889481,16.41049,,Lung,5.00%,Yes,,No,0.06093664,,,3,M,,,No,,,Human,,kirschner_1,,,shp53,none,Ishp53_QD24shp53,1,kirschner_1_Ishp53_QD24shp53,speckle type BTB/POZ protein,Induces,Oncogene-induced,26527005,no_change
17862010,GSE190998,Limma,,WI38,5%,Prolif,none,none,,Prolif_siCtrl,Etoposide,8d,DDIS,none,PRJNA789266,10%,MCM7,BDNF,none,No,,-2.09295658407953,-80469949158.4962,8.0,Lung,,0.50%,,No,1.2426999276840199e-11,,50uM,3,R,Etoposide,DDIS,No,Illumina_NovaSeq6000,Paired,Human,204,Anerillas_2,Etoposide,8d,siBDNF,none,DB_P,,Anerillas_2_DB_P,minichromosome maintenance complex component 7,Inhibits,Unclear,32264951,downregulated
10428910,GSE133292,Limma,,BJ,,Bleomycin,none,none,,Bleomycin12d,Bleomycin,12d,DDIS,none,PRJNA551006,10.00%,NF1,p53,none,No,,0.1328506,2.29313,28.0,Skin,,,,No,0.4360852,,40ugml_2hr,2,R,Bleomycin,DDIS,No,Illumina_HiSeq_2500,Paired,Human,250,wang_2,Bleomycin,28d,sgp53,none,Bshp53_B12d,,wang_2_Bshp53_B12d,neurofibromin 1,Inhibits,Oncogene-induced,25824590,no_change
9721049,GSE74324,Limma,,IMR,,RAS,none,none,,RASshC,RAS,12d,OIS,none,PRJNA299683,10.00%,HAUS4,p16_p21,none,No,,1.848979,3527191826.0,12.0,Lung,,,,No,2.835117e-10,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,100,tasdemir,HRASG12V,12d,shp16p21,none,RASshp16p21_RAS,,tasdemir_RASshp16p21_RAS,HAUS augmin like complex subunit 4,Inhibits,Unclear,32264951,upregulated
502920,GSE40349,Limma,Affymetrix_U133A,IMR,,RAS,none,none,,RASshLuc,RAS,7d,OIS,none,PRJNA173792,10%,PPM1D,pRb,none,No,,1.069274,22642.62,7.0,Lung,,,,No,4.41645e-05,,,2,M,RAS,OIS,No,,,Human,,aksoy_1,ER:RasV12,7d,shpRb,none,SshRB_R,1,aksoy_1_SshRB_R,"protein phosphatase, Mg2+/Mn2+ dependent 1D",Inhibits,Unclear,19544416,upregulated
5807827,GSE122079,Limma,,IMR,,RAS_ouabain,IONpump,none,14.0,RAS16h_ouab,RAS,6d,OIS,none,PRJNA503415,10.00%,DDAH2,IONpump,none,No,,-0.1298123,-1.885598,6.0,Lung,,,14.0,No,0.5303358,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,6d,digoxin,none,RASdig16_RASouab16,,herranz_2_RASdig16_RASouab16,dimethylarginine dimethylaminohydrolase 2,Inhibits,Unclear,24764313,no_change
